Observation,Time,Polarization Angle,Wavelength
processed/N1525327746._RC.cub,"2006-123T05:38:31.759
",IR 0,750
processed/N1499415890._RC.cub,"2005-188T07:57:06.036
",120,569
processed/N1571477029._RC.cub,"2007-292T08:47:48.528
",IR 0,750
processed/N1526619725._RC.cub,"2006-138T04:31:13.140
",120,343
processed/N1499415923._RC.cub,"2005-188T07:57:39.336
",60,569
processed/N1545753639._RC.cub,"2006-359T15:27:14.125
",IR 0,727
processed/N1525327918._RC.cub,"2006-123T05:41:14.350
",IR 0,727
processed/N1546026149._RC.cub,"2006-362T19:07:48.394
",IR 0,889
processed/N1499416011._RC.cub,"2005-188T07:59:02.043
",0,619
processed/N1525327990._RC.cub,"2006-123T05:42:09.358
",IR 0,938
processed/N1571477249._RC.cub,"2007-292T08:51:20.526
",IR 0,727
processed/N1545753787._RC.cub,"2006-359T15:29:06.131
",IR 0,938
processed/N1526619757._RC.cub,"2006-138T04:31:48.147
",60,343
processed/N1499415963._RC.cub,"2005-188T07:58:18.240
",0,569
processed/N1571477453._RC.cub,"2007-292T08:54:44.533
",IR 0,889
processed/N1577094085._RC.cub,"2007-357T09:04:26.835
",120,343
processed/N1526619789._RC.cub,"2006-138T04:32:20.147
",0,343
processed/N1577094189._RC.cub,"2007-357T09:06:10.835
",60,343
processed/N1546026519._RC.cub,"2006-362T19:15:43.392
",IR 0,750
processed/N1571477673._RC.cub,"2007-292T08:58:24.531
",IR 0,938
processed/N1526619821._RC.cub,"2006-138T04:32:55.947
",0,441
processed/N1499416107._RC.cub,"2005-188T08:00:38.043
",120,619
processed/N1552432371._RC.cub,"2007-071T22:39:21.657
",120,619
processed/N1577094397._RC.cub,"2007-357T09:09:38.833
",0,441
processed/N1526619885._RC.cub,"2006-138T04:33:59.947
",120,441
processed/N1577094293._RC.cub,"2007-357T09:07:54.834
",0,343
processed/N1553821311._RC.cub,"2007-088T00:27:43.048
",120,343
processed/N1499416059._RC.cub,"2005-188T07:59:50.043
",60,619
processed/N1526619853._RC.cub,"2006-138T04:33:27.947
",60,441
processed/N1553821383._RC.cub,"2007-088T00:28:55.048
",60,343
processed/N1577094501._RC.cub,"2007-357T09:11:22.832
",60,441
processed/N1577094605._RC.cub,"2007-357T09:13:06.832
",120,441
processed/N1526619902._RC.cub,"2006-138T04:34:24.150
",120,569
processed/N1553821455._RC.cub,"2007-088T00:30:07.047
",0,343
processed/N1499416481._RC.cub,"2005-188T08:06:26.805
",IR 0,727
processed/N1526619935._RC.cub,"2006-138T04:34:57.150
",60,569
processed/N1553821559._RC.cub,"2007-088T00:31:33.055
",0,441
processed/N1577094677._RC.cub,"2007-357T09:15:12.839
",60,569
processed/N1553821663._RC.cub,"2007-088T00:33:17.054
",60,441
processed/N1553821767._RC.cub,"2007-088T00:35:01.053
",120,441
processed/N1526619968._RC.cub,"2006-138T04:35:30.150
",0,569
processed/N1499416283._RC.cub,"2005-188T08:03:33.995
",IR 0,750
processed/N1553821784._RC.cub,"2007-088T00:36:12.257
",120,569
processed/N1515805364._RC.cub,"2006-013T00:32:37.924
",120,343
processed/N1577094622._RC.cub,"2007-357T09:14:17.839
",120,569
processed/N1526620008._RC.cub,"2006-138T04:36:06.554
",0,619
processed/N1553821817._RC.cub,"2007-088T00:36:45.257
",60,569
processed/N1515805436._RC.cub,"2006-013T00:33:49.924
",60,343
processed/N1577094732._RC.cub,"2007-357T09:16:07.839
",0,569
processed/N1499416591._RC.cub,"2005-188T08:08:10.812
",IR 0,938
processed/N1553821850._RC.cub,"2007-088T00:37:18.057
",0,569
processed/N1526620070._RC.cub,"2006-138T04:37:08.553
",60,619
processed/N1553821898._RC.cub,"2007-088T00:37:58.060
",0,619
processed/N1515805508._RC.cub,"2006-013T00:34:53.923
",0,343
processed/N1577094802._RC.cub,"2007-357T09:17:11.642
",0,619
processed/N1526620132._RC.cub,"2006-138T04:38:10.553
",120,619
processed/N1553821946._RC.cub,"2007-088T00:38:47.860
",60,619
processed/N1577094872._RC.cub,"2007-357T09:18:21.641
",60,619
processed/N1515805612._RC.cub,"2006-013T00:36:15.930
",0,441
processed/N1515805716._RC.cub,"2006-013T00:38:11.930
",60,441
processed/N1567440268._RC.cub,"2007-245T15:29:29.803
",120,569
processed/N1526620322._RC.cub,"2006-138T04:41:10.124
",IR 0,750
processed/N1515805820._RC.cub,"2006-013T00:39:55.929
",120,441
processed/N1577094942._RC.cub,"2007-357T09:19:31.641
",120,619
processed/N1515805837._RC.cub,"2006-013T00:41:07.133
",120,569
processed/N1577095406._RC.cub,"2007-357T09:26:37.806
",IR 0,727
processed/N1567440323._RC.cub,"2007-245T15:30:24.807
",60,569
processed/N1526620618._RC.cub,"2006-138T04:45:25.115
",IR 0,727
processed/N1515805870._RC.cub,"2006-013T00:41:40.133
",60,569
processed/N1567440378._RC.cub,"2007-245T15:31:19.807
",0,569
processed/N1526620740._RC.cub,"2006-138T04:47:37.122
",IR 0,938
processed/N1577095115._RC.cub,"2007-357T09:22:17.816
",IR 0,750
processed/N1532135627._RC.cub,"2006-202T00:40:54.921
",IR 0,938
processed/N1515805951._RC.cub,"2006-013T00:42:56.136
",0,619
processed/N1578503520._RC.cub,"2008-008T16:34:51.874
",120,343
processed/N1515805903._RC.cub,"2006-013T00:42:12.932
",0,569
processed/N1577095516._RC.cub,"2007-357T09:28:35.806
",IR 0,938
processed/N1530757271._RC.cub,"2006-186T01:49:21.718
",IR 0,727
processed/N1570185991._RC.cub,"2007-277T10:11:15.406
",120,569
processed/N1515805983._RC.cub,"2006-013T00:43:29.336
",60,619
processed/N1530757419._RC.cub,"2006-186T01:51:13.725
",IR 0,938
processed/N1570186046._RC.cub,"2007-277T10:12:10.409
",60,569
processed/N1515806015._RC.cub,"2006-013T00:44:01.336
",120,619
processed/N1570186101._RC.cub,"2007-277T10:13:05.409
",0,569
processed/N1516015345._RC.cub,"2006-015T10:51:33.574
",IR 0,938
processed/N1532135812._RC.cub,"2006-202T00:43:59.920
",IR 0,938
processed/N1515806133._RC.cub,"2006-013T00:45:49.935
",IR 0,750
processed/N1578503592._RC.cub,"2008-008T16:36:13.877
",60,343
processed/N1532135997._RC.cub,"2006-202T00:47:04.919
",IR 0,938
processed/N1578503696._RC.cub,"2008-008T16:37:47.884
",0,343
processed/N1515806369._RC.cub,"2006-013T00:49:14.937
",IR 0,727
processed/N1570186288._RC.cub,"2007-277T10:16:06.215
",0,619
processed/N1578503803._RC.cub,"2008-008T16:40:29.091
",120,569
processed/N1532136360._RC.cub,"2006-202T00:53:07.932
",IR 0,889
processed/N1516015482._RC.cub,"2006-015T10:53:50.573
",IR 0,938
processed/N1578503858._RC.cub,"2008-008T16:41:24.095
",60,569
processed/N1570186358._RC.cub,"2007-277T10:17:16.215
",60,619
processed/N1515806463._RC.cub,"2006-013T00:51:02.937
",IR 0,938
processed/N1532136651._RC.cub,"2006-202T00:58:42.907
",IR 0,727
processed/N1578503913._RC.cub,"2008-008T16:42:18.894
",0,569
processed/N1570186428._RC.cub,"2007-277T10:18:26.214
",120,619
processed/N1578503983._RC.cub,"2008-008T16:43:22.702
",0,619
processed/N1532136934._RC.cub,"2006-202T01:03:13.897
",IR 0,619
processed/N1521213392._RC.cub,"2006-075T14:44:49.527
",120,343
processed/N1578504053._RC.cub,"2008-008T16:44:32.701
",60,619
processed/N1570186670._RC.cub,"2007-277T10:22:18.425
",IR 0,750
processed/N1617165653._RC.cub,"2009-090T04:00:04.745
",60,569
processed/N1521213528._RC.cub,"2006-075T14:47:05.526
",60,343
processed/N1578504123._RC.cub,"2008-008T16:45:42.701
",120,619
processed/N1683887480._RC.cub,"2011-132T09:42:36.295
",60,750
processed/N1617165670._RC.cub,"2009-090T04:00:21.744
",0,569
processed/N1683887558._RC.cub,"2011-132T09:43:54.295
",120,750
processed/N1570186858._RC.cub,"2007-277T10:25:12.431
",IR 0,727
processed/N1617165726._RC.cub,"2009-090T04:01:11.352
",120,619
processed/N1578504295._RC.cub,"2008-008T16:48:27.900
",IR 0,750
processed/N1684255700._RC.cub,"2011-136T15:59:26.970
",0,750
processed/N1570187128._RC.cub,"2007-277T10:29:28.430
",IR 0,889
processed/N1617165758._RC.cub,"2009-090T04:01:43.352
",60,619
processed/N1579532920._RC.cub,"2008-020T14:31:34.605
",120,343
processed/N1684255778._RC.cub,"2011-136T16:00:51.977
",60,750
processed/N1617165790._RC.cub,"2009-090T04:02:15.351
",0,619
processed/N1570187348._RC.cub,"2007-277T10:33:08.428
",IR 0,938
